FIT Profiler Report

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Action                                                                                                                                                                       |  Mean duration (s)      |  Num calls            |  Total time (s)       |  Percentage %         |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Total                                                                                                                                                                        |  -                      |  52867                |  1119.9               |  100 %                |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  run_training_epoch                                                                                                                                                           |  220.48                 |  5                    |  1102.4               |  98.436               |
|  run_training_batch                                                                                                                                                           |  0.41435                |  1465                 |  607.02               |  54.202               |
|  [LightningModule]CfomDockLightning.optimizer_step                                                                                                                            |  0.41342                |  1465                 |  605.65               |  54.08                |
|  [_TrainingEpochLoop].train_dataloader_next                                                                                                                                   |  0.32065                |  1465                 |  469.75               |  41.944               |
|  [Strategy]DDPStrategy.training_step                                                                                                                                          |  0.17095                |  1465                 |  250.45               |  22.363               |
|  [Strategy]DDPStrategy.backward                                                                                                                                               |  0.16965                |  1465                 |  248.53               |  22.192               |
|  [Strategy]DDPStrategy.batch_to_device                                                                                                                                        |  0.015428               |  1467                 |  22.633               |  2.021                |
|  [LightningModule]CfomDockLightning.transfer_batch_to_device                                                                                                                  |  0.015313               |  1467                 |  22.464               |  2.0058               |
|  [LightningModule]CfomDockLightning.optimizer_zero_grad                                                                                                                       |  0.0036953              |  1465                 |  5.4136               |  0.48339              |
|  [Callback]TQDMProgressBar.on_train_batch_end                                                                                                                                 |  0.0012759              |  1465                 |  1.8692               |  0.1669               |
|  [Strategy]DDPStrategy.validation_step                                                                                                                                        |  0.39167                |  2                    |  0.78334              |  0.069946             |
|  [_EvaluationLoop].val_next                                                                                                                                                   |  0.36385                |  2                    |  0.7277               |  0.064978             |
|  [Callback]ModelCheckpoint{'monitor': 'validation_loss', 'mode': 'min', 'every_n_train_steps': 0, 'every_n_epochs': 1, 'train_time_interval': None}.on_train_batch_end        |  3.9801e-05             |  1465                 |  0.058308             |  0.0052065            |
|  [LightningModule]CfomDockLightning.configure_gradient_clipping                                                                                                               |  3.1197e-05             |  1465                 |  0.045703             |  0.0040809            |
|  [Callback]ModelSummary.on_fit_start                                                                                                                                          |  0.023094               |  1                    |  0.023094             |  0.0020621            |
|  [Callback]ModelSummary.on_train_batch_end                                                                                                                                    |  6.8319e-06             |  1465                 |  0.010009             |  0.0008937            |
